Blocking Key Value,Frequency
nomura,1
jardine,1
bg,1
itochu,1
carrefour,1
sabmiller,1
emc,1
seven,1
lyondellbasell,1
diageo,1
gas,1
danske,1
aetna,1
aegon,1
ericsson,1
posco,1
brookfield,1
blackrock,1
exelon,1
danone,1
mckesson,1
heineken,1
panasonic,1
hess,1
ebay,1
natixis,1
abbvie,1
medtronic,1
bristol,1
kia,1
fedex,1
renault,1
cnp,1
halliburton,1
danaher,1
linde,1
saint,1
visa,1
bridgestone,1
cigna,1
svenska,1
centrica,1
philips,1
swedbank,1
eaton,1
directv,1
marubeni,1
fresenius,1
kroger,1
henkel,1
inditex,1
wilmar,1
bb,1
sasol,1
nike,1
singtel,1
caixabank,1
maybank,1
holcim,1
telenor,1
eog,1
monsanto,1
raytheon,1
sse,1
chubb,1
accenture,1
enbridge,1
northrop,1
wpp,1
safran,1
volvo,1
las,1
ameriprise,1
toshiba,1
richemont,1
carnival,1
mapfre,1
sistema,1
baker,1
orix,1
talanx,1
transcanada,1
lloyds,1
csx,1
norfolk,1
macy,1
pernod,1
sampo,1
komatsu,1
humana,1
syngenta,1
texas,1
colgate,1
ntpc,1
macquarie,1
heidelbergcement,1
praxair,1
ppg,1
vale,1
tenaga,1
chesapeake,1
amazon,1
intesa,1
paccar,1
aon,1
xerox,1
etisalat,1
tesco,1
principal,1
novatek,1
corning,1
fujifilm,1
akbank,1
micron,1
progressive,1
alstom,1
te,1
ecolab,1
precision,1
rwe,1
mastercard,1
kellogg,1
facebook,1
fortum,1
atlas,1
sysco,1
dish,1
safeway,1
adidas,1
cardinal,1
thales,1
kyocera,1
marsh,1
kubota,1
telus,1
anglo,1
evonik,1
compass,1
xcel,1
sainsbury,1
carlsberg,1
simon,1
tenaris,1
woodside,1
falabella,1
bankia,1
alpha,1
publicis,1
entergy,1
conagra,1
unum,1
sime,1
agrium,1
mosaic,1
teck,1
swatch,1
stryker,1
tyson,1
firstenergy,1
sodexo,1
biogen,1
abertis,1
unibail,1
seadrill,1
celgene,1
nokia,1
country,1
parker,1
fast,1
whirlpool,1
kohl,1
genworth,1
bae,1
priceline,1
bouygues,1
centurylink,1
xl,1
steinhoff,1
ricoh,1
amerisourcebergen,1
dte,1
vimpelcom,1
ingersoll,1
sanlam,1
csr,1
scor,1
technip,1
nucor,1
hilton,1
crh,1
davita,1
yahoo,1
veolia,1
samba,1
baidu,1
infosys,1
fujitsu,1
dentsu,1
wolseley,1
solvay,1
bombardier,1
galaxy,1
luxottica,1
becton,1
alcoa,1
thomson,1
bunge,1
kering,1
cognizant,1
cencosud,1
skanska,1
vmware,1
cemex,1
cameron,1
capgemini,1
rtl,1
kpn,1
fluor,1
weyerhaeuser,1
mylan,1
hollyfrontier,1
bed,1
upm,1
waste,1
invesco,1
kone,1
alcatel,1
voestalpine,1
hertz,1
autozone,1
symantec,1
wipro,1
origin,1
ubi,1
rakuten,1
sherwin,1
assa,1
constellation,1
sandisk,1
whole,1
ross,1
textron,1
staples,1
everest,1
beiersdorf,1
computer,1
hershey,1
areva,1
dsm,1
cit,1
nordstrom,1
genting,1
nec,1
news,1
gkn,1
dexia,1
carmax,1
investec,1
herm,1
nisource,1
pentair,1
onex,1
comerica,1
oneok,1
link,1
turkcell,1
mgm,1
sm,1
broadcom,1
canara,1
singapore,1
cgi,1
capitaland,1
schroders,1
finmeccanica,1
avnet,1
schindler,1
ca,1
wynn,1
next,1
amcor,1
wendel,1
bidvest,1
dp,1
legrand,1
uralkali,1
terna,1
mediatek,1
ventas,1
reilly,1
neste,1
mcgraw,1
shire,1
assurant,1
dangote,1
ashland,1
hormel,1
intact,1
prologis,1
randstad,1
attijariwafa,1
celanese,1
prada,1
ses,1
lend,1
alleghany,1
stora,1
suntory,1
rowe,1
quest,1
brenntag,1
rexel,1
charter,1
netapp,1
gjensidige,1
coach,1
uniqa,1
keyence,1
sharp,1
ambank,1
fiserv,1
vedanta,1
easyjet,1
byd,1
partnerre,1
kinnevik,1
eurazeo,1
verbund,1
kintetsu,1
hcl,1
experian,1
intuit,1
goldcorp,1
saputo,1
enka,1
henry,1
lear,1
autoliv,1
braskem,1
ameren,1
sojitz,1
nidec,1
encana,1
jacobs,1
beijing,1
julius,1
nintendo,1
cincinnati,1
hindustan,1
mondi,1
anadolu,1
lennar,1
cosmo,1
zain,1
intuitive,1
pldt,1
ajinomoto,1
ingram,1
brown,1
jm,1
rtsil,1
mead,1
clorox,1
amphenol,1
tui,1
kotak,1
dubai,1
raymond,1
bankinter,1
gemdale,1
shinsei,1
delek,1
empire,1
eisai,1
essar,1
shoprite,1
nikon,1
bbmg,1
pirelli,1
omron,1
hoya,1
juniper,1
universal,1
givaudan,1
nitto,1
infineon,1
orica,1
paychex,1
inter,1
jgc,1
abengoa,1
zoetis,1
ytl,1
avago,1
xilinx,1
maxis,1
ternium,1
electrolux,1
vallourec,1
coloplast,1
protective,1
kajima,1
calpine,1
rite,1
cr,1
scana,1
manpower,1
bunzl,1
ball,1
petro,1
ucb,1
innolux,1
flowserve,1
markel,1
gea,1
iliad,1
fonci,1
talisman,1
garmin,1
perrigo,1
wyndham,1
advance,1
tele,1
adobe,1
strabag,1
cerner,1
caesars,1
eqt,1
shimizu,1
ametek,1
level,1
remgro,1
aramark,1
acciona,1
itv,1
tdc,1
kla,1
soho,1
fastenal,1
olympus,1
electric,1
whitbread,1
turkish,1
hexagon,1
visteon,1
sika,1
scripps,1
geberit,1
wolters,1
tenet,1
sigma,1
petsmart,1
arca,1
jyske,1
salesforce,1
actelion,1
cosan,1
foot,1
smiths,1
mechel,1
darden,1
embraer,1
wistron,1
novozymes,1
capita,1
altera,1
chipotle,1
lundbergs,1
avis,1
hikvision,1
vestas,1
hammerson,1
metso,1
stmicroelectronics,1
front,1
crescent,1
aberdeen,1
nvidia,1
tdk,1
harris,1
forest,1
hyosung,1
north,1
lanxess,1
subsea,1
tractor,1
cliffs,1
ncr,1
masco,1
g4s,1
twitter,1
liberbank,1
thomas,1
netflix,1
aareal,1
tesla,1
waters,1
almarai,1
atco,1
salzgitter,1
ziggo,1
arm,1
wabco,1
hugo,1
baywa,1
affiliated,1
linkedin,1
pbf,1
realogy,1
dick,1
umicore,1
verisign,1
bilfinger,1
nine,1
chinese,1
basler,1
illumina,1
nelnet,1
maxim,1
airgas,1
herbalife,1
ugi,1
tullow,1
arkema,1
outokumpu,1
citrix,1
aurubis,1
signature,1
nasdaq,1
interactive,1
cablevision,1
allahabad,1
inchcape,1
gemalto,1
workday,1
inventec,1
aerospace,1
dean,1
antero,1
vertex,1
pandora,1
lkq,1
shimano,1
eutelsat,1
concho,1
king,1
shiseido,1
carefusion,1
fraport,1
metcash,1
orkla,1
tim,1
alliant,1
dixons,1
ingredion,1
tosoh,1
hero,1
cst,1
aryzta,1
pall,1
dsv,1
amdocs,1
securitas,1
kesko,1
andritz,1
frontier,1
brunswick,1
ncc,1
towers,1
acer,1
jindal,1
vopak,1
joy,1
konica,1
tripadvisor,1
windstream,1
clariant,1
teradata,1
oshkosh,1
prysmian,1
cameco,1
equifax,1
