id,name,website,country,industry,assets,revenue
http://www.forbes.com/companies/lukoil/,LukOil,http://www.forbes.com/companies/lukoil/,Russian Federation,Integrated Oil & Gas,109400000000,119200000000
http://www.forbes.com/companies/boeing/,Boeing,http://www.forbes.com/companies/boeing/,United States of America,Aerospace & Defense,92700000000,86600000000
http://www.forbes.com/companies/zurich-insurance-group/,Zurich Insurance Group,http://www.forbes.com/companies/zurich-insurance-group/,Switzerland,Multi-line Insurance,397100000000,71900000000
http://www.forbes.com/companies/unitedhealth-group/,UnitedHealth Group,http://www.forbes.com/companies/unitedhealth-group/,United States of America,Managed Health Care,81900000000,122500000000
http://www.forbes.com/companies/hyundai-motor/,Hyundai Motor,http://www.forbes.com/companies/hyundai-motor/,Korea (Republic of),Automobile Manufacturers,126400000000,79800000000
http://www.forbes.com/companies/sanofi/,Sanofi,http://www.forbes.com/companies/sanofi/,France,Pharmaceuticals,132400000000,43700000000
http://www.forbes.com/companies/credit-agricole/,Credit Agricole,http://www.forbes.com/companies/credit-agricole/,France,Diversified Banks,2117700000000,65300000000
http://www.forbes.com/companies/united-technologies/,United Technologies,http://www.forbes.com/companies/united-technologies/,United States of America,Industrial Conglomerates,90600000000,62700000000
http://www.forbes.com/companies/roche-holding/,Roche Holding,http://www.forbes.com/companies/roche-holding/,Switzerland,Pharmaceuticals,69900000000,50500000000
http://www.forbes.com/companies/munich-re/,Munich Re,http://www.forbes.com/companies/munich-re/,,Multi-line Insurance,343100000000,88000000000
http://www.forbes.com/companies/pepsico/,PepsiCo,http://www.forbes.com/companies/pepsico/,United States of America,Beverages,77500000000,66400000000
http://www.forbes.com/companies/oracle/,Oracle,http://www.forbes.com/companies/oracle/,United States of America,Application Software,86600000000,37900000000
http://www.forbes.com/companies/bank-of-nova-scotia/,Bank of Nova Scotia,http://www.forbes.com/companies/bank-of-nova-scotia/,Canada,Diversified Banks,702100000000,27700000000
http://www.forbes.com/companies/cvs-caremark/,CVS Caremark,http://www.forbes.com/companies/cvs-caremark/,United States of America,Drug Retail,71500000000,126800000000
http://www.forbes.com/companies/ing-group/,ING Group,http://www.forbes.com/companies/ing-group/,Netherlands,Life & Health Insurance,1488700000000,34500000000
http://www.forbes.com/companies/saudi-basic-industries/,Saudi Basic Industries,http://www.forbes.com/companies/saudi-basic-industries/,Saudi Arabia,Diversified Chemicals,90400000000,50400000000
http://www.forbes.com/companies/merck-co/,Merck & Co,http://www.forbes.com/companies/merck-co/,United States of America,Pharmaceuticals,105600000000,44100000000
http://www.forbes.com/companies/walt-disney/,Walt Disney,http://www.forbes.com/companies/walt-disney/,United States of America,Broadcasting,83200000000,46000000000
http://www.forbes.com/companies/mizuho-financial/,Mizuho Financial,http://www.forbes.com/companies/mizuho-financial/,Japan,Diversified Banks,1791600000000,28500000000
http://www.forbes.com/companies/china-merchants-bank/,China Merchants Bank,http://www.forbes.com/companies/china-merchants-bank/,China,Diversified Banks,634700000000,32200000000
http://www.forbes.com/companies/societe-generale/,Société Générale,http://www.forbes.com/companies/societe-generale/,France,Diversified Banks,1702100000000,45600000000
http://www.forbes.com/companies/american-express/,American Express,http://www.forbes.com/companies/american-express/,United States of America,Consumer Finance,155900000000,34900000000
http://www.forbes.com/companies/banco-do-brasil/,Banco do Brasil,http://www.forbes.com/companies/banco-do-brasil/,Brazil,Diversified Banks,552700000000,68600000000
http://www.forbes.com/companies/morgan-stanley/,Morgan Stanley,http://www.forbes.com/companies/morgan-stanley/,United States of America,Investment Banking & Brokerage,832700000000,40800000000
http://www.forbes.com/companies/prudential/,Prudential,http://www.forbes.com/companies/prudential/,United Kingdom of Great Britain and Northern Ireland,Life & Health Insurance,528500000000,81900000000
http://www.forbes.com/companies/cnooc/,CNOOC,http://www.forbes.com/companies/cnooc/,Hong Kong,Integrated Oil & Gas,102700000000,43000000000
http://www.forbes.com/companies/rio-tinto/,Rio Tinto,http://www.forbes.com/companies/rio-tinto/,United Kingdom of Great Britain and Northern Ireland,Diversified Metals & Mining,111000000000,51200000000
http://www.forbes.com/companies/unilever/,Unilever,http://www.forbes.com/companies/unilever/,Netherlands,Packaged Foods & Meats,62700000000,66100000000
http://www.forbes.com/companies/nissan-motor/,Nissan Motor,http://www.forbes.com/companies/nissan-motor/,Japan,Automobile Manufacturers,137200000000,104000000000
http://www.forbes.com/companies/credit-suisse-group/,Credit Suisse Group,http://www.forbes.com/companies/credit-suisse-group/,Switzerland,Investment Banking & Brokerage,981200000000,39500000000
http://www.forbes.com/companies/eon/,E.ON,http://www.forbes.com/companies/eon/,,Electric Utilities,180100000000,162600000000
http://www.forbes.com/companies/generali-group/,Generali Group,http://www.forbes.com/companies/generali-group/,Italy,Multi-line Insurance,602800000000,100500000000
http://www.forbes.com/companies/america-movil/,América Móvil,http://www.forbes.com/companies/america-movil/,Mexico,Integrated Telecommunication Services,79000000000,61600000000
http://www.forbes.com/companies/glaxosmithkline/,GlaxoSmithKline,http://www.forbes.com/companies/glaxosmithkline/,United Kingdom of Great Britain and Northern Ireland,Pharmaceuticals,69700000000,41400000000
http://www.forbes.com/companies/schlumberger/,Schlumberger,http://www.forbes.com/companies/schlumberger/,United States of America,Oil & Gas Equipment & Services,67100000000,45400000000
