variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall
faiss_large_plus_random,rf,720,200,520,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
faiss_large_plus_random,hist_gb,720,200,520,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
faiss_large_plus_random,xgb,720,200,520,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
active_plus_random,logreg,865,375,490,0.9950248756218906,0.9900990099009901,1.0,0,0.9396551724137931,0.9008264462809917,0.9819819819819819,0.9950248756218906,0.9900990099009901,1.0
active_plus_random,rf,865,375,490,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
active_plus_random,xgb,865,375,490,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
active_plus_random,hist_gb,865,375,490,0.99,0.99,0.99,0,,,,0.99,0.99,0.99
active_plus_random,gb,865,375,490,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
provided_faiss_small,rf,100,34,66,0.99,0.99,0.99,0,0.9850299401197605,0.982089552238806,0.987987987987988,0.99,0.99,0.99
provided_faiss_small,logreg,100,34,66,0.9803921568627451,0.9615384615384616,1.0,0,,,,0.9803921568627451,0.9615384615384616,1.0
provided_faiss_small,xgb,100,34,66,0.9797979797979798,0.9897959183673469,0.97,0,,,,0.9797979797979798,0.9897959183673469,0.97
provided_faiss_small,hist_gb,100,34,66,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_faiss_small,gb,100,34,66,0.9463414634146342,0.9238095238095239,0.97,0,,,,0.9463414634146342,0.9238095238095239,0.97
provided_faiss_large,rf,600,200,400,0.9797979797979798,0.9897959183673469,0.97,0,0.9865470852017937,0.9821428571428571,0.990990990990991,0.9797979797979798,0.9897959183673469,0.97
provided_faiss_large,logreg,600,200,400,0.975609756097561,0.9523809523809523,1.0,0,,,,0.975609756097561,0.9523809523809523,1.0
provided_faiss_large,xgb,600,200,400,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_faiss_large,hist_gb,600,200,400,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
provided_faiss_large,gb,600,200,400,0.9615384615384615,0.9259259259259259,1.0,0,,,,0.9615384615384615,0.9259259259259259,1.0
provided_active,rf,950,531,419,0.9852216748768473,0.970873786407767,1.0,0,0.9850746268656716,0.9792284866468842,0.990990990990991,0.9852216748768473,0.970873786407767,1.0
provided_active,logreg,950,531,419,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_active,hist_gb,950,531,419,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_active,gb,950,531,419,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
provided_active,xgb,950,531,419,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
provided_faiss_small_plus_random,rf,120,34,86,0.99,0.99,0.99,0,0.982089552238806,0.9762611275964391,0.987987987987988,0.99,0.99,0.99
provided_faiss_small_plus_random,logreg,120,34,86,0.9803921568627451,0.9615384615384616,1.0,0,,,,0.9803921568627451,0.9615384615384616,1.0
provided_faiss_small_plus_random,xgb,120,34,86,0.9797979797979798,0.9897959183673469,0.97,0,,,,0.9797979797979798,0.9897959183673469,0.97
provided_faiss_small_plus_random,hist_gb,120,34,86,0.975609756097561,0.9523809523809523,1.0,0,,,,0.975609756097561,0.9523809523809523,1.0
provided_faiss_small_plus_random,gb,120,34,86,0.9463414634146342,0.9238095238095239,0.97,0,,,,0.9463414634146342,0.9238095238095239,0.97
provided_faiss_large_plus_random,rf,720,200,520,0.99009900990099,0.9803921568627451,1.0,0,0.9880239520958084,0.9850746268656716,0.990990990990991,0.99009900990099,0.9803921568627451,1.0
provided_faiss_large_plus_random,logreg,720,200,520,0.9803921568627451,0.9615384615384616,1.0,0,,,,0.9803921568627451,0.9615384615384616,1.0
provided_faiss_large_plus_random,gb,720,200,520,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_faiss_large_plus_random,xgb,720,200,520,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_faiss_large_plus_random,hist_gb,720,200,520,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
provided_active_plus_random,logreg,865,375,490,0.975609756097561,0.9523809523809523,1.0,0,0.9850746268656716,0.9792284866468842,0.990990990990991,0.975609756097561,0.9523809523809523,1.0
provided_active_plus_random,rf,865,375,490,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_active_plus_random,gb,865,375,490,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0
provided_active_plus_random,xgb,865,375,490,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
provided_active_plus_random,hist_gb,865,375,490,0.9658536585365853,0.9428571428571428,0.99,0,,,,0.9658536585365853,0.9428571428571428,0.99
